id,name,nick_name,wins,losses,draws
67f272324a030d00,Misha Cirkunov,,15,9,0
8f4eeaf7a0df7c1a,Teemu Packalen,Pacu,8,3,0
c58f51dedb310998,Michael Chiesa,Maverick,19,7,0
972c456ff38b2015,Claudio Ribeiro,,11,5,0
f0abbb6f3444dae7,Paul Buentello,The Headhunter,35,17,0
8cb76103cd8a1562,Nick Pace,,8,3,0
7e208569469c8bc8,Ruan Potts,Fangzz,11,6,0
14ff46596ad80609,Norman Parke,Stormin',23,6,1
b361180739bed4b0,David Abbott,Tank,10,15,0
c2299ec916bc7c56,Benoit Saint Denis,God of War,17,3,0
3dd949593346dbc3,Craig White,The Thundercat,14,9,0
4dcfb28c011c11b2,Wellington Turman,The Prodigy,18,8,0
edad57b3dddf2168,Jared Papazian,The Jackhammer,20,13,0
b8bbdeff718dbb7d,Pat Sabatini,,21,5,0
02fc8f50f56eb307,Trent Jenkins,,0,4,0
480b702debcb5433,Dan Cramer,,11,4,0
8ddf9c51c5fdea75,Rousimar Palhares,Toquinho,19,8,0
1fd4fbdcc67de844,Drew McFedries,The Massacre,12,7,0
38c7f72747f4f712,Gillian Robertson,The Savage,16,8,0
b63e800c18e011b5,Tedd Williams,,7,1,0
b7b84ccd221be298,Nasrat Haqparast,,18,6,0
7c9f96f9a6a5cd50,Brok Weaver,Chata Tuska,15,6,0
568bbad0eaced57c,Shanna Young,The Shanimal,9,6,0
e8fe9c15d348e778,Daniel Barez,,17,7,0
429e7d3725852ce9,Royce Gracie,,15,2,3
3d6749c4267da18f,Joanna Jedrzejczyk,,16,5,0
e132d47bd9efbbe0,Rafa Garcia,Gifted,18,4,0
fb8a3025ae722e64,Bobby Voelker,Vicious,19,13,0
af49a6c491ca22a3,Kristian Rothaermel,,4,3,0
b6c4451cb13c9303,Andy Ogle,The Little Axe,9,6,0
75bbd2206a15319f,Edwin DeWees,Babyface,38,17,0
165c244bcca3ed26,Seo Hee Ham,,17,8,0
473ce3aa581251a2,Dan Hardy,The Outlaw,25,10,0
fcd448a2fe1a23cc,Gian Villante,,17,14,0
94070f6544c4b2a5,Rodrigo Ruas,,4,5,1
70dd69b6a703257e,Daniil Donchenko,,14,2,0
c11f50e9c1513ce9,Mark Holst,Boots,12,6,0
d18dbcb0f8e2b55d,Alex Soto,Extremo,8,3,1
fc169c387b4b465d,Raquel Pennington,Rocky,16,10,0
68c6cd5287b473a7,Dean Lister,The Boogeyman,13,7,0
6c011be66326ad97,Bruno Korea,,7,3,0
cfb65863d5099327,Thales Leites,,28,9,0
01fed6f61ebea01f,Jay Perrin,The Joker,10,7,0
427b5953ac8e3a27,Demian Maia,,28,11,0
b44f39a5c6596953,Pedro Rizzo,The Rock,20,11,0
0ccab7c889ede9ea,Fredy Serrano,El Profe,3,2,0
f5990c11974d8e9c,Mike Pyle,Quicksand,27,14,1
4c288a2b250bb576,Luke Jumeau,The Jedi,13,5,0
a7f4d0902bb64092,James Irvin,The Sandman,17,10,0
e023fa2e648ea0f1,Steve Bosse,The Boss,12,2,0
33e33d51f289d2a1,Maurice Smith,,12,14,0
282fa667ff9c51ed,Cole Miller,Magrinho,21,11,0
a1ad35b98a9136e5,Lawrence Lui,Lok Yin,8,1,0
d776b5814f2400b4,Ethyn Ewing,The Professor Finesser,9,2,0
b53c46f613f6f248,Brianna Fortino,The Bull,9,3,0
79325a3c1a5c3bf4,Andreas Michailidis,The Spartan,13,6,0
01b39decaf0abf6a,Benji Radach,Razor,21,7,0
a780d16cf7eed44d,Lucio Linhares,,19,8,0
d221ee27afc7a60e,Viscardi Andrade,,19,6,0
50cc91ce2982785d,Ricco Rodriguez,Suave,53,25,0
9fd1f08dd4aec14a,Dave Beneteau,Dangerous,6,5,1
da22387a0407a2dc,Da'Mon Blackshear,The Monster,17,8,1
45e738622ea2c02c,Timur Valiev,Lucky,18,3,0
bb2c3c3a466224af,Lone'er Kavanagh,,10,1,0
aa0c573da7119292,Juliana Miller,Killer,5,4,0
1209b5134401ca53,Mario Neto,Sukata,13,5,0
dea070ed4a2a8281,Thiago Santos,Marreta,22,11,0
f8dc544e7077d014,Jorge Santiago,The Sandman,25,12,0
fcce75a25c14a804,Bojan Velickovic,Serbian Steel,15,6,1
6e02c318762f52f1,Alberta Cerra Leon,,0,1,0
e9a3aeb207578eea,Ilir Latifi,The Sledgehammer,17,9,0
c6d8ae3b016d5ad5,Joe Veres,,4,3,0
712c4db78b9373d1,Joe Jordan,,49,14,2
51e86de150ee8be6,Thibault Gouti,GT,12,5,0
c4fe2e9a06ea5bcb,Ben Alloway,Blanco,18,8,0
e6147d5ab3685899,Donny Walker,Eagle Eye,15,10,0
a6c2f5381d575920,Orlando Wiet,The Gladiator,1,5,0
6f242453c91a5af0,Dennis Bermudez,The Menace,17,9,0
654ae722109a0d31,Joe Duffy,Irish,16,5,0
1641ef250e9de19b,Sarah Frota,A Treta,9,2,0
840d2c82ea68b9aa,Ben Nguyen,Ten,16,8,0
