event_name,event_id,fight_id,r_name,r_id,b_name,b_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,referee,r_kd,r_sig_str_landed,r_sig_str_atmpted,r_sig_str_acc,r_total_str_landed,r_total_str_atmpted,r_total_str_acc,r_td_landed,r_td_atmpted,r_td_acc,r_sub_att,r_ctrl,r_head_landed,r_head_atmpted,r_head_acc,r_body_landed,r_body_atmpted,r_body_acc,r_leg_landed,r_leg_atmpted,r_leg_acc,r_dist_landed,r_dist_atmpted,r_dist_acc,r_clinch_landed,r_clinch_atmpted,r_clinch_acc,r_ground_landed,r_ground_atmpted,r_ground_acc,r_landed_head_per,r_landed_body_per,r_landed_leg_per,r_landed_dist_per,r_landed_clinch_per,r_landed_ground_per,b_kd,b_sig_str_landed,b_sig_str_atmpted,b_sig_str_acc,b_total_str_landed,b_total_str_atmpted,b_total_str_acc,b_td_landed,b_td_atmpted,b_td_acc,b_sub_att,b_ctrl,b_head_landed,b_head_atmpted,b_head_acc,b_body_landed,b_body_atmpted,b_body_acc,b_leg_landed,b_leg_atmpted,b_leg_acc,b_dist_landed,b_dist_atmpted,b_dist_acc,b_clinch_landed,b_clinch_atmpted,b_clinch_acc,b_ground_landed,b_ground_atmpted,b_ground_acc,b_landed_head_per,b_landed_body_per,b_landed_leg_per,b_landed_dist_per,b_landed_clinch_per,b_landed_ground_per,date,location,winner,winner_id,event_status,r_nick_name,r_height,r_weight,r_reach,r_stance,r_dob,r_wins,r_losses,r_draws,b_nick_name,b_height,b_weight,b_reach,b_stance,b_dob,b_wins,b_losses,b_draws
UFC 2: No Way Out,a6a9ab5a824e8f66,c4aa04781989699e,Remco Pardoel,749685d24e2cac50,Orlando Wiet,a6c2f5381d575920,open weight,0,KO/TKO,1.0,89.0,,John McCarthy,0.0,7.0,7.0,100.0,7.0,7.0,100.0,1.0,1.0,100.0,0.0,,7.0,7.0,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,7.0,7.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,2.0,50.0,5.0,7.0,71.0,0.0,0.0,,0.0,,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,,0.0,0.0,,0.0,0.0,100.0,100.0,0.0,0.0,"March 11, 1994","Denver, Colorado, USA",Remco Pardoel,749685d24e2cac50,,Grizzly,"6' 3""",260 lbs.,,Southpaw,"May 23, 1969",9,6,1,The Gladiator,"5' 10""",170 lbs.,,Southpaw,"Oct 24, 1965",1,5,0
UFC 249: Ferguson vs. Gaethje,898337ef520fe4d3,b70dfff154b135bf,Ryan Spann,a67f5afa8d6a1b80,Sam Alvey,d156513a19acf856,light heavyweight,0,Decision - Split,3.0,300.0,3.0,Dan Miragliotta,0.0,51.0,115.0,44.0,52.0,116.0,45.0,2.0,7.0,28.0,1.0,181.0,41.0,102.0,40.0,10.0,13.0,77.0,0.0,0.0,,48.0,109.0,44.0,3.0,6.0,50.0,0.0,0.0,,80.0,19.0,0.0,94.0,5.0,0.0,0.0,57.0,108.0,52.0,103.0,156.0,66.0,0.0,0.0,,0.0,29.0,40.0,90.0,44.0,3.0,3.0,100.0,14.0,15.0,93.0,46.0,94.0,49.0,11.0,14.0,79.0,0.0,0.0,,70.0,5.0,24.0,80.0,19.0,0.0,"May 09, 2020","Jacksonville, Florida, USA",Ryan Spann,a67f5afa8d6a1b80,,Superman,"6' 5""",205 lbs.,"79""",Orthodox,"Aug 24, 1991",24,11,0,Smile'N,"6' 2""",185 lbs.,"75""",Southpaw,"May 06, 1986",33,18,1
UFC Fight Night: Ulberg vs. Reyes,ed220e87bef0cc64,81127436605d3c88,Colby Thicknesse,ed7d329d7c29428d,Josias Musasa,723b64c0e9a8f348,bantamweight,0,Decision - Unanimous,3.0,300.0,3.0,Jim Perdios,0.0,62.0,111.0,55.0,126.0,199.0,63.0,2.0,14.0,14.0,1.0,465.0,48.0,95.0,51.0,8.0,10.0,80.0,6.0,6.0,100.0,15.0,31.0,48.0,4.0,6.0,67.0,43.0,74.0,57.0,77.0,12.0,9.0,24.0,6.0,69.0,0.0,43.0,89.0,48.0,62.0,118.0,53.0,1.0,2.0,50.0,0.0,52.0,26.0,61.0,43.0,7.0,10.0,70.0,10.0,18.0,56.0,27.0,62.0,44.0,16.0,25.0,64.0,0.0,2.0,0.0,60.0,16.0,23.0,62.0,37.0,0.0,"September 27, 2025","Perth, Western Australia, Australia",Colby Thicknesse,ed7d329d7c29428d,,Slickness,"5' 7""",135 lbs.,"69""",Orthodox,"Jun 23, 1999",9,1,0,The KO Wizard,"5' 8""",135 lbs.,"74""",Southpaw,"Oct 10, 1998",8,2,0
UFC 204: Bisping vs. Henderson,154a6b3ffae264cd,47dfd70b5780d68a,Leon Edwards,f1fac969a1d70b08,Albert Tumenov,ff6a1f63c254127e,welterweight,0,Submission,3.0,181.0,3.0,Yves Lavigne,0.0,16.0,72.0,22.0,31.0,89.0,35.0,3.0,10.0,30.0,1.0,273.0,7.0,55.0,13.0,7.0,14.0,50.0,2.0,3.0,67.0,14.0,69.0,20.0,2.0,3.0,67.0,0.0,0.0,,43.0,43.0,12.0,87.0,12.0,0.0,0.0,32.0,83.0,38.0,34.0,86.0,40.0,0.0,0.0,,0.0,0.0,28.0,75.0,37.0,3.0,7.0,43.0,1.0,1.0,100.0,31.0,80.0,39.0,1.0,3.0,33.0,0.0,0.0,,87.0,9.0,3.0,96.0,3.0,0.0,"October 08, 2016","Manchester, England, United Kingdom",Leon Edwards,f1fac969a1d70b08,,Rocky,"6' 2""",170 lbs.,"74""",Southpaw,"Aug 25, 1991",22,6,0,Einstein,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 26, 1991",18,4,0
UFC 136: Edgar vs Maynard 3,7d5b12de1625984e,80538f958af30aa0,Leonard Garcia,917e53fa0adea0d3,Nam Phan,80dbeb1dd5b53e64,featherweight,0,Decision - Unanimous,3.0,300.0,3.0,Jacob Montalvo,1.0,100.0,374.0,26.0,107.0,382.0,28.0,0.0,2.0,0.0,0.0,25.0,56.0,321.0,17.0,19.0,28.0,68.0,25.0,25.0,100.0,99.0,371.0,27.0,1.0,3.0,33.0,0.0,0.0,,56.0,19.0,25.0,99.0,1.0,0.0,0.0,174.0,339.0,51.0,195.0,360.0,54.0,1.0,1.0,100.0,0.0,93.0,131.0,289.0,45.0,43.0,49.0,88.0,0.0,1.0,0.0,173.0,337.0,51.0,0.0,0.0,,1.0,2.0,50.0,75.0,24.0,0.0,99.0,0.0,0.0,"October 08, 2011","Houston, Texas, USA",Nam Phan,80dbeb1dd5b53e64,,Bad Boy,"5' 10""",145 lbs.,"68""",Orthodox,"Jul 14, 1979",18,13,1,,"5' 6""",135 lbs.,"70""",Orthodox,"Mar 13, 1983",21,17,0
UFC Fight Night: Costa vs. Vettori,8a9c6c4301f6d088,6d7eecf4acecda2a,Khama Worthy,78e501478a36a018,Jai Herbert,4c88a1db5a46c6a4,lightweight,0,KO/TKO,1.0,167.0,3.0,Chris Tognoni,0.0,11.0,21.0,52.0,11.0,21.0,52.0,0.0,0.0,,0.0,0.0,5.0,13.0,38.0,1.0,1.0,100.0,5.0,7.0,71.0,11.0,21.0,52.0,0.0,0.0,,0.0,0.0,,45.0,9.0,45.0,100.0,0.0,0.0,1.0,24.0,46.0,52.0,25.0,47.0,53.0,0.0,0.0,,0.0,5.0,21.0,40.0,53.0,1.0,1.0,100.0,2.0,5.0,40.0,19.0,39.0,49.0,2.0,2.0,100.0,3.0,5.0,60.0,87.0,4.0,8.0,79.0,8.0,12.0,"October 23, 2021","Las Vegas, Nevada, USA",Jai Herbert,4c88a1db5a46c6a4,,The Death Star,"5' 11""",155 lbs.,"74""",Orthodox,"Oct 15, 1986",16,9,0,Black Country Banger,"6' 1""",155 lbs.,"77""",Orthodox,"May 13, 1988",14,6,1
UFC on FUEL TV: Munoz vs Weidman,d3b5ad3b15a64a18,a914df32b95a1abc,Raphael Assuncao,2f13e4020cea5b38,Issei Tamura,57bf89d42364d39e,bantamweight,0,KO/TKO,2.0,25.0,3.0,Jason McCoy,1.0,39.0,60.0,65.0,42.0,63.0,67.0,0.0,0.0,,0.0,42.0,14.0,32.0,44.0,11.0,13.0,85.0,14.0,15.0,93.0,31.0,50.0,62.0,1.0,1.0,100.0,7.0,9.0,78.0,35.0,28.0,35.0,79.0,2.0,17.0,0.0,5.0,14.0,35.0,5.0,14.0,36.0,0.0,1.0,0.0,0.0,0.0,5.0,13.0,38.0,0.0,1.0,0.0,0.0,0.0,,5.0,13.0,38.0,0.0,1.0,0.0,0.0,0.0,,100.0,0.0,0.0,100.0,0.0,0.0,"July 11, 2012","San Jose, California, USA",Raphael Assuncao,2f13e4020cea5b38,,,"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982",28,10,0,,"5' 5""",135 lbs.,"63""",Orthodox,"Mar 12, 1984",10,8,0
UFC Fight Night: Edgar vs Swanson,155a02a8b4311057,8f9cfe0e283a6ccb,Frankie Edgar,f2688492b9a525a3,Cub Swanson,d247691a6c0e9034,featherweight,0,Submission,5.0,296.0,5.0,Dan Miragliotta,0.0,93.0,202.0,46.0,259.0,405.0,64.0,7.0,13.0,53.0,2.0,970.0,77.0,180.0,43.0,15.0,18.0,83.0,1.0,4.0,25.0,24.0,103.0,23.0,0.0,3.0,0.0,69.0,96.0,72.0,82.0,16.0,1.0,25.0,0.0,74.0,0.0,31.0,86.0,36.0,62.0,119.0,52.0,0.0,0.0,,0.0,0.0,25.0,79.0,32.0,3.0,3.0,100.0,3.0,4.0,75.0,28.0,81.0,35.0,0.0,1.0,0.0,3.0,4.0,75.0,80.0,9.0,9.0,90.0,0.0,9.0,"November 22, 2014","Austin, Texas, USA",Frankie Edgar,f2688492b9a525a3,,The Answer,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 16, 1981",23,11,1,,"5' 8""",145 lbs.,"70""",Orthodox,"Nov 02, 1983",31,14,0
UFC 240: Holloway vs. Edgar,abcf7e55a0a9ed89,e186bd5e556f1b5e,Geoff Neal,b997be68943010fc,Niko Price,d8da10db80131bec,welterweight,0,KO/TKO,2.0,159.0,3.0,Dan Miragliotta,0.0,41.0,61.0,67.0,53.0,73.0,73.0,2.0,4.0,50.0,0.0,217.0,41.0,60.0,68.0,0.0,1.0,0.0,0.0,0.0,,8.0,18.0,44.0,6.0,8.0,75.0,27.0,35.0,77.0,100.0,0.0,0.0,19.0,14.0,65.0,1.0,24.0,57.0,42.0,42.0,79.0,53.0,0.0,2.0,0.0,0.0,53.0,15.0,41.0,37.0,7.0,14.0,50.0,2.0,2.0,100.0,14.0,39.0,36.0,6.0,8.0,75.0,4.0,10.0,40.0,62.0,29.0,8.0,58.0,25.0,16.0,"July 27, 2019","Edmonton, Alberta, Canada",Geoff Neal,b997be68943010fc,,Handz of Steel,"5' 11""",170 lbs.,"75""",Southpaw,"Aug 28, 1990",16,8,0,The Hybrid,"6' 0""",170 lbs.,"76""",Orthodox,"Sep 29, 1989",16,11,0
UFC 314: Volkanovski vs. Lopes,22f4b6cb6b1bd7fd,b87d6f71d901355b,Tresean Gore,147e70aa6cc48cfc,Marco Tulio,9384e71bca6c409d,middleweight,0,KO/TKO,2.0,196.0,3.0,Marc Goddard,0.0,17.0,60.0,28.0,17.0,60.0,28.0,0.0,0.0,,0.0,6.0,10.0,47.0,21.0,3.0,5.0,60.0,4.0,8.0,50.0,17.0,60.0,28.0,0.0,0.0,,0.0,0.0,,58.0,17.0,23.0,100.0,0.0,0.0,2.0,127.0,175.0,72.0,140.0,195.0,72.0,0.0,0.0,,0.0,43.0,74.0,120.0,62.0,40.0,42.0,95.0,13.0,13.0,100.0,118.0,161.0,73.0,4.0,4.0,100.0,5.0,10.0,50.0,58.0,31.0,10.0,92.0,3.0,3.0,"April 12, 2025","Miami, Florida, USA",Marco Tulio,9384e71bca6c409d,,Mr. Vicious,"6' 0""",185 lbs.,"75""",Switch,"Jun 21, 1994",7,4,0,Matuto,"6' 0""",185 lbs.,"74""",Orthodox,"Jun 13, 1994",14,3,0
UFC Fight Night: Hunt vs Bigfoot,ee457ef1e1c326c1,678eb77df5589eac,Bruno Santos,da1d8d76404bb6b5,Krzysztof Jotko,4e06913c91da5200,middleweight,0,Decision - Unanimous,3.0,300.0,3.0,John Sharp,0.0,12.0,24.0,50.0,31.0,45.0,69.0,1.0,12.0,8.0,1.0,296.0,3.0,12.0,25.0,4.0,7.0,56.0,5.0,5.0,100.0,5.0,16.0,31.0,7.0,8.0,88.0,0.0,0.0,,25.0,33.0,41.0,41.0,58.0,0.0,0.0,17.0,46.0,36.0,84.0,120.0,70.0,1.0,4.0,25.0,0.0,238.0,8.0,35.0,23.0,6.0,8.0,75.0,3.0,3.0,100.0,10.0,36.0,28.0,7.0,10.0,70.0,0.0,0.0,,47.0,35.0,17.0,58.0,41.0,0.0,"December 06, 2013","Brisbane, Queensland, Australia",Krzysztof Jotko,4e06913c91da5200,,Carioca,"5' 9""",185 lbs.,,Orthodox,"Jul 17, 1987",15,2,0,,"6' 1""",185 lbs.,"77""",Southpaw,"Aug 19, 1989",24,6,0
UFC Fight Night: Royval vs. Kape,bc0f994de0521926,71170fb7ade3e1f4,Jamey-Lyn Horth,5c637af9472ae7cc,Tereza Bleda,59c438c81fbf3ece,women's flyweight,0,KO/TKO,1.0,125.0,3.0,Kerry Hatley,0.0,16.0,22.0,72.0,18.0,24.0,75.0,0.0,0.0,,0.0,3.0,12.0,17.0,71.0,3.0,4.0,75.0,1.0,1.0,100.0,9.0,15.0,60.0,7.0,7.0,100.0,0.0,0.0,,75.0,18.0,6.0,56.0,43.0,0.0,0.0,2.0,12.0,16.0,2.0,12.0,17.0,0.0,4.0,0.0,0.0,80.0,0.0,8.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,1.0,11.0,9.0,1.0,1.0,100.0,0.0,0.0,,0.0,100.0,0.0,50.0,50.0,0.0,"December 13, 2025","Las Vegas, Nevada, USA",Jamey-Lyn Horth,5c637af9472ae7cc,,,"5' 7""",125 lbs.,"66""",Orthodox,"Mar 30, 1990",9,3,0,,"5' 9""",125 lbs.,"71""",Orthodox,"Nov 30, 2001",7,2,0
UFC 66: Liddell vs Ortiz 2,ee5df903f80c6816,343b016754852c36,Yushin Okami,acff437707625fc7,Rory Singer,546015aa2ad945fd,middleweight,0,KO/TKO,3.0,243.0,3.0,Steve Mazzagatti,0.0,35.0,83.0,42.0,74.0,125.0,59.0,3.0,4.0,75.0,0.0,409.0,24.0,70.0,34.0,5.0,5.0,100.0,6.0,8.0,75.0,10.0,52.0,19.0,7.0,7.0,100.0,18.0,24.0,75.0,68.0,14.0,17.0,28.0,20.0,51.0,0.0,28.0,93.0,30.0,35.0,101.0,35.0,0.0,1.0,0.0,0.0,30.0,5.0,68.0,7.0,5.0,5.0,100.0,18.0,20.0,90.0,10.0,72.0,14.0,18.0,21.0,86.0,0.0,0.0,,17.0,17.0,64.0,35.0,64.0,0.0,"December 30, 2006","Las Vegas, Nevada, USA",Yushin Okami,acff437707625fc7,,Thunder,"6' 2""",170 lbs.,"75""",Southpaw,"Jul 21, 1981",34,12,0,Outburst,"6' 2""",185 lbs.,"77""",Orthodox,"May 28, 1976",11,9,0
UFC 6: Clash of the Titans,1c3f5e85b59ec710,3c2c7c095c79a506,Oleg Taktarov,1dc56b59cb28425d,Anthony Macias,dedc3bb440d09554,open weight,0,Submission,1.0,9.0,1.0,John McCarthy,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,33.0,34.0,33.0,33.0,34.0,33.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,"July 14, 1995","Casper, Wyoming, USA",Oleg Taktarov,1dc56b59cb28425d,,The Russian Bear,"6' 0""",210 lbs.,,Orthodox,"Aug 26, 1967",17,5,2,Mad Dog,"5' 9""",185 lbs.,,Switch,"Feb 09, 1969",26,18,0
UFC Fight Night: Sterling vs. Zalal,e60d773a0a42048a,dcfd594b68ff5ae1,Mayra Bueno Silva,cc8c623cca88f54f,Michelle Montague,ca80d72da81d7224,women's bantamweight,0,Decision - Unanimous,3.0,300.0,3.0,Herb Dean,0.0,26.0,45.0,57.0,34.0,53.0,64.0,0.0,0.0,,1.0,99.0,11.0,27.0,41.0,10.0,12.0,83.0,5.0,6.0,83.0,22.0,38.0,57.0,3.0,6.0,50.0,1.0,1.0,100.0,42.0,38.0,19.0,84.0,11.0,3.0,0.0,42.0,83.0,50.0,108.0,161.0,67.0,2.0,6.0,33.0,0.0,614.0,41.0,80.0,51.0,1.0,3.0,33.0,0.0,0.0,,21.0,58.0,36.0,0.0,1.0,0.0,21.0,24.0,88.0,97.0,2.0,0.0,50.0,0.0,50.0,"April 25, 2026","Las Vegas, Nevada, USA",Michelle Montague,ca80d72da81d7224,,Sheetara,"5' 6""",135 lbs.,"66""",Orthodox,"Aug 22, 1991",10,7,1,The Wild One,"5' 9""",135 lbs.,"68""",Southpaw,"Nov 25, 1993",8,0,0
UFC 61: Bitter Rivals,f70144caea5c4c80,4000e1f32058796a,Joe Stevenson,79899ecf62020f6d,Yves Edwards,5f04e3d58d9ce982,lightweight,0,TKO - Doctor's Stoppage,2.0,300.0,3.0,John McCarthy,0.0,28.0,57.0,49.0,76.0,109.0,70.0,3.0,6.0,50.0,1.0,339.0,27.0,55.0,49.0,0.0,1.0,0.0,1.0,1.0,100.0,3.0,16.0,19.0,1.0,2.0,50.0,24.0,39.0,62.0,96.0,0.0,3.0,10.0,3.0,85.0,1.0,18.0,52.0,34.0,29.0,63.0,46.0,0.0,0.0,,2.0,40.0,13.0,46.0,28.0,4.0,5.0,80.0,1.0,1.0,100.0,15.0,45.0,33.0,1.0,1.0,100.0,2.0,6.0,33.0,72.0,22.0,5.0,83.0,5.0,11.0,"July 08, 2006","Las Vegas, Nevada, USA",Joe Stevenson,79899ecf62020f6d,,Daddy,"5' 7""",145 lbs.,"70""",Orthodox,"Jun 15, 1982",33,16,0,,"5' 9""",155 lbs.,"73""",Southpaw,"Sep 30, 1976",42,22,1
UFC 187: Johnson vs Cormier,4f7e290e71d60f87,6257627ba49e42ab,John Dodson,99506df1af6c8b3b,Zach Makovsky,57ab4d7c0bc09a30,flyweight,0,Decision - Unanimous,3.0,300.0,3.0,Herb Dean,0.0,31.0,98.0,31.0,32.0,99.0,32.0,2.0,3.0,66.0,0.0,38.0,13.0,76.0,17.0,11.0,14.0,79.0,7.0,8.0,88.0,19.0,77.0,25.0,12.0,20.0,60.0,0.0,1.0,0.0,41.0,35.0,22.0,61.0,38.0,0.0,0.0,37.0,85.0,43.0,39.0,87.0,45.0,0.0,17.0,0.0,0.0,9.0,14.0,56.0,25.0,9.0,12.0,75.0,14.0,17.0,82.0,31.0,77.0,40.0,6.0,8.0,75.0,0.0,0.0,,37.0,24.0,37.0,83.0,16.0,0.0,"May 23, 2015","Las Vegas, Nevada, USA",John Dodson,99506df1af6c8b3b,,The Magician,"5' 3""",135 lbs.,"66""",Orthodox,"Sep 26, 1984",22,12,0,Fun Size,"5' 4""",125 lbs.,"64""",Southpaw,"Apr 19, 1983",20,8,0
UFC on FX: Belfort vs. Rockhold,030f08370fd1c2bb,4b4c4df2778538d9,Paulo Thiago,30a09e43f15f1d75,Michel Prazeres,e51fcd9cd84c0b93,welterweight,0,Decision - Unanimous,3.0,300.0,3.0,Mario Yamasaki,0.0,46.0,92.0,50.0,98.0,148.0,66.0,2.0,4.0,50.0,0.0,162.0,22.0,65.0,34.0,16.0,19.0,84.0,8.0,8.0,100.0,20.0,59.0,34.0,18.0,20.0,90.0,8.0,13.0,62.0,47.0,34.0,17.0,43.0,39.0,17.0,0.0,30.0,63.0,47.0,36.0,72.0,50.0,3.0,12.0,25.0,0.0,281.0,15.0,41.0,37.0,4.0,10.0,40.0,11.0,12.0,92.0,25.0,56.0,45.0,4.0,6.0,67.0,1.0,1.0,100.0,50.0,13.0,36.0,83.0,13.0,3.0,"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",Paulo Thiago,30a09e43f15f1d75,,,"5' 11""",170 lbs.,"74""",Orthodox,"Jan 25, 1981",18,9,0,Tractor,"5' 6""",170 lbs.,"67""",Orthodox,"Jul 25, 1981",26,4,0
UFC Fight Night: Kattar vs. Allen,be5aab761c40ef35,6a7db3750822d7be,Josh Fremd,ca43de99b07b6b40,Tresean Gore,147e70aa6cc48cfc,middleweight,0,Submission,2.0,49.0,3.0,Chris Tognoni,0.0,24.0,54.0,44.0,27.0,57.0,47.0,0.0,1.0,0.0,0.0,39.0,8.0,35.0,23.0,11.0,14.0,79.0,5.0,5.0,100.0,20.0,47.0,43.0,4.0,7.0,56.0,0.0,0.0,,33.0,45.0,20.0,83.0,16.0,0.0,0.0,10.0,20.0,50.0,14.0,25.0,56.0,3.0,4.0,75.0,1.0,166.0,7.0,14.0,50.0,1.0,2.0,50.0,2.0,4.0,50.0,9.0,15.0,60.0,1.0,5.0,20.0,0.0,0.0,,70.0,10.0,20.0,90.0,10.0,0.0,"October 29, 2022","Las Vegas, Nevada, USA",Tresean Gore,147e70aa6cc48cfc,,,"6' 4""",185 lbs.,"76""",Orthodox,"Jan 15, 1994",11,6,0,Mr. Vicious,"6' 0""",185 lbs.,"75""",Switch,"Jun 21, 1994",7,4,0
UFC on FOX: Teixeira vs Evans,e7e970d508529bf3,28f5f50617f2b686,Rose Namajunas,47b63240018d5d86,Tecia Pennington,31ef8b67e13495b3,women's strawweight,0,Decision - Unanimous,3.0,300.0,3.0,Dan Miragliotta,0.0,46.0,156.0,29.0,48.0,160.0,30.0,2.0,4.0,50.0,0.0,79.0,27.0,126.0,21.0,15.0,25.0,60.0,4.0,5.0,80.0,41.0,145.0,28.0,0.0,3.0,0.0,5.0,8.0,62.0,58.0,32.0,8.0,89.0,0.0,10.0,0.0,61.0,121.0,50.0,93.0,155.0,60.0,0.0,1.0,0.0,0.0,45.0,20.0,74.0,27.0,13.0,18.0,72.0,28.0,29.0,97.0,51.0,108.0,47.0,9.0,12.0,75.0,1.0,1.0,100.0,32.0,21.0,45.0,83.0,14.0,1.0,"April 16, 2016","Tampa, Florida, USA",Rose Namajunas,47b63240018d5d86,,Thug,"5' 5""",125 lbs.,"65""",Orthodox,"Jun 29, 1992",15,8,0,Tiny Tornado,"5' 1""",115 lbs.,"60""",Orthodox,"Aug 16, 1989",15,8,0
UFC 26: Ultimate Field Of Dreams,cedfdf8d423d500c,cef1b43c77e02635,Kevin Randleman,6859f67468ba8489,Pedro Rizzo,b44f39a5c6596953,heavyweight,1,Decision - Unanimous,5.0,300.0,5.0,John McCarthy,0.0,17.0,52.0,32.0,33.0,70.0,47.0,2.0,4.0,50.0,2.0,213.0,17.0,52.0,33.0,0.0,0.0,,0.0,0.0,,11.0,39.0,28.0,2.0,4.0,50.0,4.0,9.0,44.0,100.0,0.0,0.0,64.0,11.0,23.0,0.0,12.0,57.0,21.0,16.0,63.0,25.0,0.0,0.0,,0.0,0.0,3.0,46.0,7.0,0.0,0.0,,9.0,11.0,82.0,12.0,55.0,22.0,0.0,1.0,0.0,0.0,1.0,0.0,25.0,0.0,75.0,100.0,0.0,0.0,"June 09, 2000","Cedar Rapids, Iowa, USA",Kevin Randleman,6859f67468ba8489,,The Monster,"5' 10""",205 lbs.,,Orthodox,"Aug 10, 1971",17,16,0,The Rock,"6' 1""",241 lbs.,,Orthodox,"May 03, 1974",20,11,0
UFC 19: Ultimate Young Guns,a220be6d41d6f97d,03afd7b6a217aaac,Sione Latu,5898357a45a73674,Joey Roberts,c058823a2595ab09,heavyweight,0,TKO - Doctor's Stoppage,1.0,601.0,1.0,Tony Mullinax,0.0,9.0,19.0,47.0,14.0,26.0,54.0,1.0,1.0,100.0,0.0,,6.0,15.0,40.0,2.0,3.0,67.0,1.0,1.0,100.0,3.0,6.0,50.0,4.0,10.0,40.0,2.0,3.0,67.0,66.0,22.0,11.0,33.0,44.0,22.0,0.0,17.0,42.0,40.0,33.0,60.0,55.0,1.0,2.0,50.0,2.0,,14.0,38.0,37.0,3.0,4.0,75.0,0.0,0.0,,0.0,8.0,0.0,2.0,4.0,50.0,15.0,30.0,50.0,82.0,17.0,0.0,0.0,11.0,88.0,"March 05, 1999","Bay St. Louis, Mississippi, USA",Sione Latu,5898357a45a73674,,,"6' 0""",215 lbs.,,,,1,0,0,,"6' 2""",200 lbs.,,,"Nov 11, 1977",4,3,0
UFC 2: No Way Out,a6a9ab5a824e8f66,8fbdde20b712b8da,Patrick Smith,46c8ec317aff28ac,Johnny Rhodes,319fa1bd3176bded,open weight,0,Submission,1.0,67.0,,John McCarthy,0.0,5.0,12.0,41.0,5.0,12.0,42.0,0.0,0.0,,1.0,,1.0,4.0,25.0,2.0,2.0,100.0,2.0,6.0,33.0,3.0,10.0,30.0,2.0,2.0,100.0,0.0,0.0,,20.0,40.0,40.0,60.0,40.0,0.0,0.0,4.0,9.0,44.0,4.0,9.0,44.0,0.0,0.0,,0.0,,2.0,5.0,40.0,0.0,0.0,,2.0,4.0,50.0,4.0,9.0,44.0,0.0,0.0,,0.0,0.0,,50.0,0.0,50.0,100.0,0.0,0.0,"March 11, 1994","Denver, Colorado, USA",Patrick Smith,46c8ec317aff28ac,,,"6' 2""",225 lbs.,,Orthodox,"Aug 28, 1963",20,17,0,,"6' 0""",210 lbs.,,Orthodox,,2,1,0
UFC Fight Night: Lewis vs. Daukaus,2a470ad41c22c25a,4b7ec02b39fc6f70,Derrick Lewis,d3df1add9d9a7efb,Chris Daukaus,d0aaedcf7ccd0b45,heavyweight,0,KO/TKO,1.0,216.0,5.0,Mark Smith,1.0,14.0,28.0,50.0,14.0,28.0,50.0,0.0,1.0,0.0,0.0,0.0,12.0,26.0,46.0,1.0,1.0,100.0,1.0,1.0,100.0,11.0,24.0,46.0,3.0,4.0,75.0,0.0,0.0,,85.0,7.0,7.0,78.0,21.0,0.0,0.0,10.0,19.0,52.0,10.0,19.0,53.0,0.0,0.0,,0.0,0.0,6.0,14.0,43.0,1.0,1.0,100.0,3.0,4.0,75.0,8.0,15.0,53.0,2.0,4.0,50.0,0.0,0.0,,60.0,10.0,30.0,80.0,20.0,0.0,"December 18, 2021","Las Vegas, Nevada, USA",Derrick Lewis,d3df1add9d9a7efb,,The Black Beast,"6' 3""",260 lbs.,"79""",Orthodox,"Feb 07, 1985",29,13,0,,"6' 3""",205 lbs.,"76""",Orthodox,"Sep 25, 1989",12,7,0
